,syll,next_syll,size,emp_tp,tp,next_vec,rec,mse,eucl,familiar,pair,n_data,n_model
36,pu,pi,12.0,0.1791044776119403,0.2,[0 0 0 0 1 0 0 0 0 0 0 0],"[ 2.81346083e-01  1.12304464e-04 -4.99397516e-04  6.83208928e-04
  1.79728776e-01 -3.73435020e-03  2.41752714e-03 -8.33012164e-04
  3.39750201e-03  1.94461986e-01  2.08867967e-01  1.32317215e-01]",0.07091519930239776,0.9224870685428458,1,pu_pi,0,0
37,pu,tu,14.0,0.208955223880597,0.2,[0 0 0 0 0 0 0 0 0 0 1 0],"[ 2.81346083e-01  1.12304464e-04 -4.99397516e-04  6.83208928e-04
  1.79728776e-01 -3.73435020e-03  2.41752714e-03 -8.33012164e-04
  3.39750201e-03  1.94461986e-01  2.08867967e-01  1.32317215e-01]",0.06605866748368998,0.8903392666867387,1,pu_tu,0,0
38,ta,ba,66.0,1.0,1.0,[0 1 0 0 0 0 0 0 0 0 0 0],"[-6.40116632e-04  1.00005794e+00 -1.04330480e-04  1.21092424e-04
  2.87294388e-05 -6.75372779e-04  5.48623502e-04 -6.29425049e-05
  6.50245696e-04  2.13727355e-04 -9.70587134e-05 -2.38262117e-04]",1.4460378581036595e-07,0.0013172871477868412,1,ta_ba,0,0
39,ti,bu,72.0,1.0,1.0,[0 0 0 0 0 0 0 0 0 1 0 0],"[-1.9622594e-04  2.1845289e-04  3.1731278e-04  3.2789819e-04
  2.1335483e-04 -1.9534677e-03  2.0648316e-03 -3.2527745e-04
  1.6783029e-03  1.0003468e+00  1.2959391e-03 -9.7645074e-04]",1.1745994249797581e-06,0.003754356549364631,1,ti_bu,0,0
40,tu,bi,75.0,0.5102040816326531,0.5,[0 0 0 0 0 1 0 0 0 0 0 0],"[ 1.14910305e-04  4.88329679e-05  4.43905592e-05 -2.42237002e-05
 -3.71485949e-05  5.10217011e-01  4.89882916e-01  5.96269965e-05
 -6.69267029e-05  4.97996807e-05  3.30135226e-05 -1.28649175e-04]",0.039989391301355696,0.6927284429098233,1,tu_bi,0,0
41,tu,ti,72.0,0.4897959183673469,0.5,[0 0 0 0 0 0 1 0 0 0 0 0],"[ 1.14910305e-04  4.88329679e-05  4.43905592e-05 -2.42237002e-05
 -3.71485949e-05  5.10217011e-01  4.89882916e-01  5.96269965e-05
 -6.69267029e-05  4.97996807e-05  3.30135226e-05 -1.28649175e-04]",0.04337840709515604,0.7214851939865936,1,tu_ti,0,0
42,pa,pa,,0.0,0.0,[1 0 0 0 0 0 0 0 0 0 0 0],"[ 8.9064240e-05 -4.7111884e-05 -2.0179898e-05  4.6437147e-01
 -1.7096102e-04  2.5965273e-05  4.0009618e-06  1.6008317e-04
  8.5765496e-05  1.9985437e-04  5.3554559e-01  6.4313412e-05]",0.1251893274959768,1.2256720319692873,0,pa_pa,0,0
43,pa,ba,,0.0,0.0,[0 1 0 0 0 0 0 0 0 0 0 0],"[ 8.9064240e-05 -4.7111884e-05 -2.0179898e-05  4.6437147e-01
 -1.7096102e-04  2.5965273e-05  4.0009618e-06  1.6008317e-04
  8.5765496e-05  1.9985437e-04  5.3554559e-01  6.4313412e-05]",0.12521202351667934,1.2257831301662427,0,pa_ba,0,0
44,pa,ta,,0.0,0.0,[0 0 1 0 0 0 0 0 0 0 0 0],"[ 8.9064240e-05 -4.7111884e-05 -2.0179898e-05  4.6437147e-01
 -1.7096102e-04  2.5965273e-05  4.0009618e-06  1.6008317e-04
  8.5765496e-05  1.9985437e-04  5.3554559e-01  6.4313412e-05]",0.12520753485231056,1.2257611587204607,0,pa_ta,0,0
45,pa,pi,,0.0,0.0,[0 0 0 0 1 0 0 0 0 0 0 0],"[ 8.9064240e-05 -4.7111884e-05 -2.0179898e-05  4.6437147e-01
 -1.7096102e-04  2.5965273e-05  4.0009618e-06  1.6008317e-04
  8.5765496e-05  1.9985437e-04  5.3554559e-01  6.4313412e-05]",0.12523266503978225,1.225884162748417,0,pa_pi,0,0
