,tp,condition,model_num,ae_mse,word,epochs,exp,model_type,optim,lr
3,0.752808988764045,part-word,0,0.081819035,pi-go-la,4,1,onehot,sgd,0.01
0,1.0,word,0,0.08318574,pa-bi-ku,4,1,onehot,sgd,0.001
1,1.0,word,0,0.08198337,ti-bu-do,4,1,onehot,sgd,0.001
2,0.75,part-word,0,0.08023367,tu-da-ro,4,1,onehot,sgd,0.001
3,0.752808988764045,part-word,0,0.08207524,pi-go-la,4,1,onehot,sgd,0.001
0,1.0,word,0,0.08319947,pa-bi-ku,4,1,onehot,sgd,0.0001
1,1.0,word,0,0.08199473,ti-bu-do,4,1,onehot,sgd,0.0001
2,0.75,part-word,0,0.08025645,tu-da-ro,4,1,onehot,sgd,0.0001
3,0.752808988764045,part-word,0,0.08210121,pi-go-la,4,1,onehot,sgd,0.0001
0,1.0,word,0,0.08320084,pa-bi-ku,4,1,onehot,sgd,1e-05
1,1.0,word,0,0.081995875,ti-bu-do,4,1,onehot,sgd,1e-05
2,0.75,part-word,0,0.08025874,tu-da-ro,4,1,onehot,sgd,1e-05
3,0.752808988764045,part-word,0,0.08210382,pi-go-la,4,1,onehot,sgd,1e-05
0,1.0,word,0,31.521084,pa-bi-ku,4,1,onehot,adam,0.1
1,1.0,word,0,32.323105,ti-bu-do,4,1,onehot,adam,0.1
2,0.75,part-word,0,33.44139,tu-da-ro,4,1,onehot,adam,0.1
3,0.752808988764045,part-word,0,32.15862,pi-go-la,4,1,onehot,adam,0.1
0,1.0,word,0,0.08430873,pa-bi-ku,4,1,onehot,adam,0.01
1,1.0,word,0,0.08310026,ti-bu-do,4,1,onehot,adam,0.01
2,0.75,part-word,0,0.078067414,tu-da-ro,4,1,onehot,adam,0.01
3,0.752808988764045,part-word,0,0.07890685,pi-go-la,4,1,onehot,adam,0.01
0,1.0,word,0,0.08459914,pa-bi-ku,4,1,onehot,adam,0.001
1,1.0,word,0,0.08521247,ti-bu-do,4,1,onehot,adam,0.001
2,0.75,part-word,0,0.073896065,tu-da-ro,4,1,onehot,adam,0.001
