,tp,condition,model_num,ae_mse,word,epochs,exp,model_type
0,1.0,word,8,13.965005,pa-bi-ku,2,1,acoustic
1,1.0,word,8,20.848759,ti-bu-do,2,1,acoustic
2,0.75,part-word,8,16.036228,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,8,67.41016,pi-go-la,2,1,acoustic
0,1.0,word,9,13.953454,pa-bi-ku,2,1,acoustic
1,1.0,word,9,20.82043,ti-bu-do,2,1,acoustic
2,0.75,part-word,9,16.011438,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,9,67.35056,pi-go-la,2,1,acoustic
0,1.0,word,10,13.9479475,pa-bi-ku,2,1,acoustic
1,1.0,word,10,20.815441,ti-bu-do,2,1,acoustic
2,0.75,part-word,10,16.008286,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,10,67.32867,pi-go-la,2,1,acoustic
0,1.0,word,11,13.955564,pa-bi-ku,2,1,acoustic
1,1.0,word,11,20.826385,ti-bu-do,2,1,acoustic
2,0.75,part-word,11,16.015335,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,11,67.363335,pi-go-la,2,1,acoustic
0,1.0,word,12,13.947852,pa-bi-ku,2,1,acoustic
1,1.0,word,12,20.812412,ti-bu-do,2,1,acoustic
2,0.75,part-word,12,16.009342,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,12,67.34013,pi-go-la,2,1,acoustic
0,1.0,word,13,13.954796,pa-bi-ku,2,1,acoustic
1,1.0,word,13,20.816444,ti-bu-do,2,1,acoustic
2,0.75,part-word,13,16.010506,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,13,67.3475,pi-go-la,2,1,acoustic
0,1.0,word,14,13.961215,pa-bi-ku,2,1,acoustic
1,1.0,word,14,20.8229,ti-bu-do,2,1,acoustic
2,0.75,part-word,14,16.01604,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,14,67.372284,pi-go-la,2,1,acoustic
0,1.0,word,15,13.962897,pa-bi-ku,2,1,acoustic
1,1.0,word,15,20.841816,ti-bu-do,2,1,acoustic
2,0.75,part-word,15,16.032034,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,15,67.39866,pi-go-la,2,1,acoustic
0,1.0,word,16,13.95127,pa-bi-ku,2,1,acoustic
1,1.0,word,16,20.810802,ti-bu-do,2,1,acoustic
2,0.75,part-word,16,15.999524,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,16,67.325096,pi-go-la,2,1,acoustic
0,1.0,word,17,13.956909,pa-bi-ku,2,1,acoustic
1,1.0,word,17,20.82861,ti-bu-do,2,1,acoustic
2,0.75,part-word,17,16.0183,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,17,67.378006,pi-go-la,2,1,acoustic
0,1.0,word,18,13.95017,pa-bi-ku,2,1,acoustic
1,1.0,word,18,20.812344,ti-bu-do,2,1,acoustic
2,0.75,part-word,18,16.000395,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,18,67.3376,pi-go-la,2,1,acoustic
0,1.0,word,19,13.961872,pa-bi-ku,2,1,acoustic
1,1.0,word,19,20.835346,ti-bu-do,2,1,acoustic
2,0.75,part-word,19,16.022814,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,19,67.38408,pi-go-la,2,1,acoustic
0,1.0,word,20,13.949488,pa-bi-ku,2,1,acoustic
1,1.0,word,20,20.826855,ti-bu-do,2,1,acoustic
2,0.75,part-word,20,16.01455,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,20,67.35354,pi-go-la,2,1,acoustic
0,1.0,word,21,13.949932,pa-bi-ku,2,1,acoustic
1,1.0,word,21,20.819004,ti-bu-do,2,1,acoustic
2,0.75,part-word,21,16.009432,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,21,67.34998,pi-go-la,2,1,acoustic
0,1.0,word,22,13.957922,pa-bi-ku,2,1,acoustic
1,1.0,word,22,20.836138,ti-bu-do,2,1,acoustic
2,0.75,part-word,22,16.022999,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,22,67.38491,pi-go-la,2,1,acoustic
0,1.0,word,23,13.960992,pa-bi-ku,2,1,acoustic
1,1.0,word,23,20.837673,ti-bu-do,2,1,acoustic
2,0.75,part-word,23,16.024588,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,23,67.38349,pi-go-la,2,1,acoustic
0,1.0,word,24,13.938782,pa-bi-ku,2,1,acoustic
1,1.0,word,24,20.818073,ti-bu-do,2,1,acoustic
2,0.75,part-word,24,16.003948,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,24,67.33335,pi-go-la,2,1,acoustic
0,1.0,word,25,13.9346895,pa-bi-ku,2,1,acoustic
1,1.0,word,25,20.802849,ti-bu-do,2,1,acoustic
2,0.75,part-word,25,15.995565,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,25,67.31383,pi-go-la,2,1,acoustic
0,1.0,word,26,13.942732,pa-bi-ku,2,1,acoustic
1,1.0,word,26,20.802252,ti-bu-do,2,1,acoustic
2,0.75,part-word,26,15.9991455,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,26,67.32311,pi-go-la,2,1,acoustic
0,1.0,word,27,13.963565,pa-bi-ku,2,1,acoustic
1,1.0,word,27,20.822102,ti-bu-do,2,1,acoustic
2,0.75,part-word,27,16.006378,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,27,67.35746,pi-go-la,2,1,acoustic
0,1.0,word,28,13.961803,pa-bi-ku,2,1,acoustic
1,1.0,word,28,20.831108,ti-bu-do,2,1,acoustic
2,0.75,part-word,28,16.01995,tu-da-ro,2,1,acoustic
