,tp,condition,model_num,ae_mse,word,epochs,exp,model_type
0,1.0,word,10,0.12285021,pa-bi-ku,2,1,phon
1,1.0,word,10,0.14119664,ti-bu-do,2,1,phon
2,0.75,part-word,10,0.13394405,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,10,0.12354553,pi-go-la,2,1,phon
0,1.0,word,11,0.12815143,pa-bi-ku,2,1,phon
1,1.0,word,11,0.14649251,ti-bu-do,2,1,phon
2,0.75,part-word,11,0.1368911,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,11,0.12678503,pi-go-la,2,1,phon
0,1.0,word,12,0.13397588,pa-bi-ku,2,1,phon
1,1.0,word,12,0.14932528,ti-bu-do,2,1,phon
2,0.75,part-word,12,0.14019197,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,12,0.13234414,pi-go-la,2,1,phon
0,1.0,word,13,0.12674668,pa-bi-ku,2,1,phon
1,1.0,word,13,0.14295378,ti-bu-do,2,1,phon
2,0.75,part-word,13,0.13394517,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,13,0.1269679,pi-go-la,2,1,phon
0,1.0,word,14,0.12970686,pa-bi-ku,2,1,phon
1,1.0,word,14,0.14652836,ti-bu-do,2,1,phon
2,0.75,part-word,14,0.13920766,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,14,0.12880532,pi-go-la,2,1,phon
0,1.0,word,15,0.12843242,pa-bi-ku,2,1,phon
1,1.0,word,15,0.14988469,ti-bu-do,2,1,phon
2,0.75,part-word,15,0.1383535,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,15,0.12740189,pi-go-la,2,1,phon
0,1.0,word,16,0.12944499,pa-bi-ku,2,1,phon
1,1.0,word,16,0.14707017,ti-bu-do,2,1,phon
2,0.75,part-word,16,0.13800336,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,16,0.12918639,pi-go-la,2,1,phon
0,1.0,word,17,0.12837215,pa-bi-ku,2,1,phon
1,1.0,word,17,0.14761125,ti-bu-do,2,1,phon
2,0.75,part-word,17,0.14001906,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,17,0.13140225,pi-go-la,2,1,phon
0,1.0,word,18,0.12896693,pa-bi-ku,2,1,phon
1,1.0,word,18,0.14609954,ti-bu-do,2,1,phon
2,0.75,part-word,18,0.13584913,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,18,0.12615293,pi-go-la,2,1,phon
0,1.0,word,19,0.12765819,pa-bi-ku,2,1,phon
1,1.0,word,19,0.15090062,ti-bu-do,2,1,phon
2,0.75,part-word,19,0.14184459,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,19,0.13132991,pi-go-la,2,1,phon
0,1.0,word,20,0.1296224,pa-bi-ku,2,1,phon
1,1.0,word,20,0.14788595,ti-bu-do,2,1,phon
2,0.75,part-word,20,0.14014584,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,20,0.13040489,pi-go-la,2,1,phon
0,1.0,word,21,0.12651244,pa-bi-ku,2,1,phon
1,1.0,word,21,0.14817692,ti-bu-do,2,1,phon
2,0.75,part-word,21,0.13938072,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,21,0.12946208,pi-go-la,2,1,phon
0,1.0,word,22,0.13319069,pa-bi-ku,2,1,phon
1,1.0,word,22,0.14829464,ti-bu-do,2,1,phon
2,0.75,part-word,22,0.13842213,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,22,0.13066669,pi-go-la,2,1,phon
0,1.0,word,23,0.124379605,pa-bi-ku,2,1,phon
1,1.0,word,23,0.14114588,ti-bu-do,2,1,phon
2,0.75,part-word,23,0.13324776,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,23,0.122250125,pi-go-la,2,1,phon
0,1.0,word,24,0.13480577,pa-bi-ku,2,1,phon
1,1.0,word,24,0.15159595,ti-bu-do,2,1,phon
2,0.75,part-word,24,0.14052917,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,24,0.13004816,pi-go-la,2,1,phon
0,1.0,word,25,0.1281977,pa-bi-ku,2,1,phon
1,1.0,word,25,0.14748698,ti-bu-do,2,1,phon
2,0.75,part-word,25,0.138369,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,25,0.12914245,pi-go-la,2,1,phon
0,1.0,word,26,0.12722453,pa-bi-ku,2,1,phon
1,1.0,word,26,0.14714384,ti-bu-do,2,1,phon
2,0.75,part-word,26,0.13845898,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,26,0.12825042,pi-go-la,2,1,phon
0,1.0,word,27,0.126066,pa-bi-ku,2,1,phon
1,1.0,word,27,0.14266276,ti-bu-do,2,1,phon
2,0.75,part-word,27,0.13788639,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,27,0.12952325,pi-go-la,2,1,phon
0,1.0,word,28,0.12173872,pa-bi-ku,2,1,phon
1,1.0,word,28,0.14135443,ti-bu-do,2,1,phon
2,0.75,part-word,28,0.13723162,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,28,0.12622666,pi-go-la,2,1,phon
0,1.0,word,29,0.13062817,pa-bi-ku,2,1,phon
1,1.0,word,29,0.14912917,ti-bu-do,2,1,phon
2,0.75,part-word,29,0.13739087,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,29,0.128649,pi-go-la,2,1,phon
0,1.0,word,30,0.12908542,pa-bi-ku,2,1,phon
1,1.0,word,30,0.14611919,ti-bu-do,2,1,phon
2,0.75,part-word,30,0.13842756,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,30,0.12984556,pi-go-la,2,1,phon
0,1.0,word,31,0.12520967,pa-bi-ku,2,1,phon
1,1.0,word,31,0.14235564,ti-bu-do,2,1,phon
2,0.75,part-word,31,0.1352099,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,31,0.12658826,pi-go-la,2,1,phon
0,1.0,word,32,0.12545334,pa-bi-ku,2,1,phon
1,1.0,word,32,0.14153643,ti-bu-do,2,1,phon
2,0.75,part-word,32,0.13496318,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,32,0.1248865,pi-go-la,2,1,phon
0,1.0,word,33,0.12797624,pa-bi-ku,2,1,phon
1,1.0,word,33,0.14293349,ti-bu-do,2,1,phon
2,0.75,part-word,33,0.13824575,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,33,0.12765603,pi-go-la,2,1,phon
0,1.0,word,34,0.12763214,pa-bi-ku,2,1,phon
1,1.0,word,34,0.1436015,ti-bu-do,2,1,phon
2,0.75,part-word,34,0.1356972,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,34,0.12673336,pi-go-la,2,1,phon
0,1.0,word,35,0.12747994,pa-bi-ku,2,1,phon
1,1.0,word,35,0.14358905,ti-bu-do,2,1,phon
2,0.75,part-word,35,0.1371494,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,35,0.12613824,pi-go-la,2,1,phon
0,1.0,word,36,0.12935515,pa-bi-ku,2,1,phon
1,1.0,word,36,0.14813483,ti-bu-do,2,1,phon
2,0.75,part-word,36,0.13938893,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,36,0.12836963,pi-go-la,2,1,phon
0,1.0,word,37,0.12515226,pa-bi-ku,2,1,phon
1,1.0,word,37,0.1455279,ti-bu-do,2,1,phon
2,0.75,part-word,37,0.13773867,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,37,0.12918818,pi-go-la,2,1,phon
0,1.0,word,38,0.12283773,pa-bi-ku,2,1,phon
1,1.0,word,38,0.13835892,ti-bu-do,2,1,phon
2,0.75,part-word,38,0.13260648,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,38,0.12412797,pi-go-la,2,1,phon
0,1.0,word,39,0.1328171,pa-bi-ku,2,1,phon
1,1.0,word,39,0.1543343,ti-bu-do,2,1,phon
2,0.75,part-word,39,0.1423465,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,39,0.13230559,pi-go-la,2,1,phon
0,1.0,word,40,0.123964295,pa-bi-ku,2,1,phon
1,1.0,word,40,0.14448869,ti-bu-do,2,1,phon
2,0.75,part-word,40,0.13727778,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,40,0.1277728,pi-go-la,2,1,phon
0,1.0,word,41,0.12575614,pa-bi-ku,2,1,phon
1,1.0,word,41,0.14449391,ti-bu-do,2,1,phon
2,0.75,part-word,41,0.1368607,tu-da-ro,2,1,phon
3,0.752808988764045,part-word,41,0.124749646,pi-go-la,2,1,phon
